s_no,route_long_name,stop_id
143,905STLUP,2758
144,905STLUP,1340
145,905STLUP,1341
146,905STLUP,1342
147,905STLUP,1343
148,905STLUP,1344
149,905STLUP,1345
150,905STLUP,1422
151,905STLUP,1346
152,905STLUP,1347
153,905STLUP,1348
154,905STLUP,1349
155,905STLUP,1350
156,127DOWN,3350
157,127DOWN,3351
158,127DOWN,3352
159,127DOWN,3353
160,127DOWN,3354
161,127DOWN,3355
162,127DOWN,3356
163,127DOWN,33
164,127DOWN,34
165,127DOWN,35
166,127DOWN,36
167,127DOWN,37
168,127DOWN,38
169,127DOWN,39
170,127DOWN,40
171,127DOWN,41
172,127DOWN,2537
173,127DOWN,42
174,127DOWN,43
175,127DOWN,44
176,127DOWN,936
177,127DOWN,46
178,127DOWN,47
179,127DOWN,48
180,127DOWN,108
181,127DOWN,109
182,127DOWN,110
183,127DOWN,111
184,108STLDOWN,3822
185,108STLDOWN,2555
186,108STLDOWN,2556
187,108STLDOWN,2557
188,108STLDOWN,2558
189,108STLDOWN,2559
190,108STLDOWN,824
191,108STLDOWN,825
192,108STLDOWN,826
193,108STLDOWN,827
194,108STLDOWN,305
195,108STLDOWN,306
196,835LNKSTLDOWN,3237
197,835LNKSTLDOWN,3238
198,835LNKSTLDOWN,3239
199,835LNKSTLDOWN,3240
200,835LNKSTLDOWN,3241
201,835LNKSTLDOWN,3242
202,835LNKSTLDOWN,3243
203,835LNKSTLDOWN,1387
204,835LNKSTLDOWN,1388
205,835LNKSTLDOWN,370
206,835LNKSTLDOWN,371
207,835LNKSTLDOWN,372
208,835LNKSTLDOWN,1736
209,835LNKSTLDOWN,1738
210,142UP,111
211,142UP,1480
212,142UP,1481
213,142UP,45
214,142UP,672
215,142UP,673
216,142UP,674
217,142UP,675
218,142UP,676
219,142UP,2728
220,142UP,2729
221,142UP,2730
222,142UP,2731
223,142UP,2732
224,142UP,2733
225,142UP,2734
226,142UP,2735
227,142UP,2736
228,142UP,3939
229,142UP,3940
230,142UP,3941
231,142UP,3942
232,142UP,1441
233,142UP,2610
234,142UP,240
235,142UP,241
236,142UP,242
237,142UP,243
238,142UP,1245
239,142UP,3295
240,142UP,3296
241,142UP,3297
242,412DOWN,805
243,412DOWN,806
244,412DOWN,807
245,412DOWN,808
246,412DOWN,2552
247,412DOWN,2553
248,412DOWN,2554
249,412DOWN,2555
250,412DOWN,2556
251,412DOWN,2557
252,412DOWN,2558
253,412DOWN,2559
254,412DOWN,2560
255,412DOWN,294
256,412DOWN,295
257,412DOWN,296
258,412DOWN,3002
259,412DOWN,3003
260,412DOWN,3385
261,412DOWN,3005
262,412DOWN,3006
263,412DOWN,3007
264,412DOWN,4142
265,412DOWN,2471
266,412DOWN,3009
267,412DOWN,2472
268,412DOWN,441
269,412DOWN,1678
270,412DOWN,443
271,412DOWN,444
272,412DOWN,445
273,412DOWN,446
274,412DOWN,2646
275,412DOWN,2647
276,412DOWN,2648
277,412DOWN,4143
278,412DOWN,3330
279,412DOWN,1784
280,412DOWN,1785
281,412DOWN,1786
282,412DOWN,2209
283,412DOWN,1507
284,412DOWN,3888
285,412DOWN,1509
286,412DOWN,1510
287,412DOWN,3094
288,412DOWN,1512
289,412DOWN,1513
290,412DOWN,1514
291,412DOWN,1515
292,412DOWN,1516
293,412DOWN,1233
294,942DOWN,3560
295,942DOWN,1737
296,942DOWN,1351
297,942DOWN,373
298,942DOWN,374
299,942DOWN,375
300,942DOWN,376
301,942DOWN,377
302,942DOWN,378
303,942DOWN,234
304,942DOWN,148
305,942DOWN,235
306,942DOWN,236
307,942DOWN,237
308,942DOWN,238
309,942DOWN,1352
310,942DOWN,1353
311,942DOWN,1354
312,942DOWN,1355
313,942DOWN,1356
314,942DOWN,1357
315,942DOWN,2275
316,942DOWN,1360
317,942DOWN,2036
318,942DOWN,2037
319,942DOWN,2038
320,942DOWN,2039
321,942DOWN,1365
322,942DOWN,2041
323,942DOWN,1367
324,942DOWN,2044
325,942DOWN,2045
326,942DOWN,2046
327,942DOWN,2047
328,942DOWN,1373
329,942DOWN,1374
330,942DOWN,1375
331,942DOWN,1376
332,942DOWN,1377
333,942DOWN,1378
334,942DOWN,1425
335,942DOWN,1426
336,942DOWN,1427
337,942DOWN,1428
338,942DOWN,1429
339,942DOWN,1430
340,942DOWN,1431
341,942DOWN,1432
342,942DOWN,1433
343,942DOWN,1434
344,942DOWN,2277
345,942DOWN,2278
346,942DOWN,2279
347,942DOWN,2280
348,942DOWN,2281
349,942DOWN,2282
350,942DOWN,2283
351,942DOWN,2284
352,942DOWN,2285
353,942DOWN,2286
354,942DOWN,2287
355,942DOWN,2288
356,942DOWN,2289
357,942DOWN,2290
358,942DOWN,2291
